Name,Quantity,Value,LCSC #,Price,Source
Choc switches,58,-,-,30$,https://he.aliexpress.com/item/1005010420712566.html
Choc hot swap socket,58,-,-,20$,https://he.aliexpress.com/item/33023283633.html
Diodes,58,1N4148W (SOD-123),C2128,,
Resistor,2,0805 2M,C106170,,
Resistor,2,0805 806k,C63494,,
Keycaps,58,-,-,27$,https://he.aliexpress.com/item/1005010385514024.html
NRF52 XIAO,2,-,-,40$,https://he.aliexpress.com/item/1005006988954136.html
Switch,2,MSK12C02,-,,
Screws,8,M2,-,,
Silicone feet,some,-,-,7$,https://he.aliexpress.com/item/1005010241201821.html
Nice Nano,1,-,-,,
TOTAL,,,,124$,